Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,DelayAccuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,Delay_null_mean,Delay_null_std,Fix_p_perm,Enc_p_perm,Delay_p_perm,Obs_DpFx_Diff,DpFx_p_perm,DpFx_signif_perm,Fix_p_binom,Enc_p_binom,Delay_p_binom,Fix_signif_perm,Enc_signif_perm,Delay_signif_perm,Fix_signif_binom,Enc_signif_binom,Delay_signif_binom
k12wm002,1,Left Amygdala,1,0.557,0.687,0.565,0.599,0.037,0.53,0.039,0.55,0.038,0.9171,0.001,0.4296,0.009,0.1768,False,0.1315,0.0,0.0957,False,True,False,False,True,False
k12wm002,1,Left Amygdala,2,0.6,0.548,0.53,0.641,0.031,0.479,0.042,0.524,0.042,0.952,0.0769,0.5325,-0.07,0.1828,False,0.0199,0.1756,0.288,False,False,False,True,False,False
k12wm002,1,Left Amygdala,3,0.278,0.652,0.391,0.27,0.018,0.49,0.04,0.444,0.04,0.5415,0.001,0.9331,0.113,0.9381,False,1.0,0.0007,0.9925,False,True,False,False,True,False
k12wm002,1,Left Amygdala,4,0.47,0.713,0.643,0.535,0.04,0.543,0.041,0.617,0.036,0.966,0.001,0.3107,0.174,0.0619,False,0.7721,0.0,0.0013,False,True,False,False,True,True
k12wm002,2,Left Amygdala,1,0.32,0.68,0.464,0.331,0.03,0.515,0.038,0.435,0.036,0.7602,0.001,0.2807,0.144,0.2318,False,1.0,0.0,0.8144,False,True,False,False,True,False
k12wm002,2,Left Amygdala,2,0.696,0.712,0.544,0.703,0.016,0.538,0.04,0.523,0.04,0.8422,0.001,0.3786,-0.152,0.3087,False,0.0,0.0,0.1856,False,True,False,True,True,False
k12wm002,2,Left Amygdala,3,0.568,0.704,0.584,0.531,0.038,0.527,0.039,0.587,0.037,0.2178,0.001,0.6074,0.016,0.8042,False,0.0761,0.0,0.0366,False,True,False,False,True,True
k12wm002,2,Left Amygdala,4,0.592,0.664,0.52,0.623,0.034,0.527,0.038,0.552,0.037,0.8731,0.001,0.8631,-0.072,0.5465,False,0.0243,0.0002,0.3603,False,True,False,True,True,False
k12wm002,3,Left Amygdala,1,0.351,0.595,0.489,0.416,0.036,0.497,0.04,0.414,0.037,0.974,0.012,0.039,0.137,0.005,True,0.9998,0.0178,0.6366,False,True,True,False,True,False
k12wm002,3,Left Amygdala,2,0.588,0.695,0.397,0.616,0.033,0.522,0.039,0.421,0.035,0.8651,0.001,0.8082,-0.191,0.4975,False,0.0271,0.0,0.9929,False,True,False,True,True,False
k12wm002,3,Left Amygdala,3,0.664,0.672,0.55,0.668,0.028,0.51,0.038,0.574,0.038,0.6444,0.001,0.7852,-0.115,0.7133,False,0.0001,0.0001,0.1472,False,True,False,True,True,False
k12wm002,3,Left Amygdala,4,0.45,0.771,0.626,0.455,0.036,0.542,0.037,0.636,0.032,0.6503,0.001,0.7093,0.176,0.5275,False,0.8894,0.0,0.0025,False,True,False,False,True,True
k12wm002,4,Left Amygdala,1,0.625,0.669,0.537,0.6,0.035,0.536,0.036,0.492,0.038,0.3047,0.002,0.1638,-0.088,0.4156,False,0.0022,0.0,0.2202,False,True,False,True,True,False
k12wm002,4,Left Amygdala,2,0.596,0.706,0.426,0.63,0.032,0.518,0.036,0.439,0.036,0.9011,0.001,0.7173,-0.169,0.3297,False,0.0158,0.0,0.9643,False,True,False,True,True,False
k12wm002,4,Left Amygdala,3,0.662,0.551,0.647,0.641,0.031,0.495,0.038,0.59,0.035,0.3217,0.0969,0.0759,-0.015,0.2118,False,0.0001,0.1324,0.0004,False,False,False,True,False,True
k12wm002,4,Left Amygdala,4,0.64,0.743,0.581,0.672,0.028,0.52,0.036,0.621,0.032,0.9311,0.001,0.9321,-0.059,0.5544,False,0.0007,0.0,0.0357,False,True,False,True,True,True
k12wm002,5,Left Cerebral White Matter,1,0.646,0.654,0.575,0.65,0.03,0.543,0.038,0.531,0.039,0.6474,0.005,0.1808,-0.071,0.1908,False,0.0007,0.0003,0.0549,False,True,False,True,True,False
k12wm002,5,Left Cerebral White Matter,2,0.701,0.677,0.512,0.706,0.02,0.536,0.038,0.555,0.038,0.7502,0.001,0.9201,-0.189,0.8541,False,0.0,0.0,0.4296,False,True,False,True,True,False
