Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,DelayAccuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,Delay_null_mean,Delay_null_std,Fix_p_perm,Enc_p_perm,Delay_p_perm,Obs_DpFx_Diff,DpFx_p_perm,DpFx_signif_perm,Fix_p_binom,Enc_p_binom,Delay_p_binom,Fix_signif_perm,Enc_signif_perm,Delay_signif_perm,Fix_signif_binom,Enc_signif_binom,Delay_signif_binom
k12wm002,1,Left Amygdala,1,0.557,0.687,0.565,0.493,0.181,0.499,0.06,0.497,0.056,0.4216,0.001,0.1379,0.009,0.5045,False,0.1315,0.0,0.0957,False,True,False,False,True,False
k12wm002,1,Left Amygdala,2,0.6,0.548,0.53,0.5,0.114,0.497,0.048,0.499,0.052,0.2677,0.1588,0.3197,-0.07,0.6613,False,0.0199,0.1756,0.288,False,False,False,True,False,False
k12wm002,1,Left Amygdala,3,0.278,0.652,0.391,0.503,0.147,0.499,0.055,0.5,0.056,0.976,0.004,0.985,0.113,0.2507,False,1.0,0.0007,0.9925,False,True,False,False,True,False
k12wm002,1,Left Amygdala,4,0.47,0.713,0.643,0.517,0.186,0.501,0.08,0.499,0.077,0.5754,0.002,0.031,0.174,0.1918,False,0.7721,0.0,0.0013,False,True,True,False,True,True
k12wm002,2,Left Amygdala,1,0.32,0.68,0.464,0.493,0.2,0.497,0.07,0.496,0.074,0.7053,0.002,0.6374,0.144,0.2977,False,1.0,0.0,0.8144,False,True,False,False,True,False
k12wm002,2,Left Amygdala,2,0.696,0.712,0.544,0.501,0.148,0.5,0.065,0.499,0.062,0.0969,0.001,0.2767,-0.152,0.8651,False,0.0,0.0,0.1856,False,True,False,True,True,False
k12wm002,2,Left Amygdala,3,0.568,0.704,0.584,0.5,0.156,0.499,0.059,0.496,0.078,0.4006,0.001,0.1648,0.016,0.4715,False,0.0761,0.0,0.0366,False,True,False,False,True,True
k12wm002,2,Left Amygdala,4,0.592,0.664,0.52,0.494,0.17,0.501,0.053,0.5,0.043,0.3656,0.002,0.3506,-0.072,0.6114,False,0.0243,0.0002,0.3603,False,True,False,True,True,False
k12wm002,3,Left Amygdala,1,0.351,0.595,0.489,0.507,0.153,0.5,0.053,0.502,0.047,0.7782,0.039,0.6234,0.137,0.1938,False,0.9998,0.0178,0.6366,False,True,False,False,True,False
k12wm002,3,Left Amygdala,2,0.588,0.695,0.397,0.497,0.134,0.501,0.074,0.498,0.064,0.3297,0.001,0.955,-0.191,0.8911,False,0.0271,0.0,0.9929,False,True,False,True,True,False
