Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,Delay1Accuracy,Delay2Accuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,D1_null_mean,D1_null_std,D2_null_mean,D2_null_std,Fix_p_perm,Enc_p_perm,D1_p_perm,D2_p_perm,D1_vsFix_p,D2_vsFix_p,Fix_p_binom,Enc_p_binom,D1_p_binom,D2_p_binom,Fix_signif_binom,Enc_signif_binom,D1_signif_binom,D2_signif_binom,D1_signif_vsFix,D2_signif_vsFix
k12wm002,47,L Middle Frontal Gyrus,1,0.469,0.588,0.594,0.519,0.499,0.033,0.508,0.038,0.5,0.042,0.5,0.04,0.8515,0.0198,0.0198,0.3564,0.0198,0.1782,0.8077,0.0162,0.0108,0.3464,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,118,L Fusiform Gyrus,4,0.494,0.625,0.562,0.469,0.5,0.033,0.506,0.081,0.503,0.033,0.496,0.042,0.6337,0.0792,0.0594,0.7624,0.0792,0.6436,0.5937,0.001,0.0664,0.8077,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
k12wm006,44,L Postcentral Gyrus,4,0.537,0.481,0.7,0.588,0.495,0.036,0.491,0.073,0.515,0.07,0.514,0.068,0.1188,0.5941,0.0099,0.198,0.0297,0.396,0.1923,0.7099,0,0.0162,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm003,41,L Postcentral Gyrus,1,0.519,0.55,0.637,0.512,0.496,0.038,0.494,0.113,0.496,0.039,0.495,0.057,0.2871,0.396,0.0099,0.4752,0.0099,0.5446,0.3464,0.1178,0.0003,0.4063,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,61,L Inferior Parietal Lobule,1,0.506,0.5,0.556,0.494,0.496,0.038,0.5,0.036,0.498,0.044,0.493,0.053,0.4554,0.5149,0.1287,0.5149,0.1683,0.5545,0.4685,0.5315,0.0894,0.5937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm008,39,R Superior Temporal Gyrus,4,0.456,0.544,0.75,0.606,0.499,0.04,0.493,0.05,0.503,0.1,0.502,0.079,0.8911,0.198,0.0099,0.1485,0.0099,0.0396,0.8822,0.152,0,0.0044,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
k12wm008,39,R Superior Temporal Gyrus,1,0.5,0.669,0.7,0.531,0.5,0.041,0.491,0.144,0.498,0.067,0.492,0.043,0.5644,0.1683,0.0099,0.2376,0.0099,0.2376,0.5315,0,0,0.2384,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,40,R Insula Lobe,4,0.444,0.419,0.7,0.412,0.5,0.041,0.503,0.08,0.497,0.057,0.494,0.063,0.9604,0.8317,0.0099,0.9307,0.0099,0.6535,0.9336,0.9838,0,0.9892,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,129,L Hippocampus,1,0.469,0.525,0.562,0.525,0.496,0.041,0.499,0.075,0.495,0.037,0.489,0.043,0.7723,0.3366,0.0495,0.2376,0.0297,0.0495,0.8077,0.2901,0.0664,0.2901,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
k12wm002,32,L Postcentral Gyrus,3,0.562,0.481,0.681,0.556,0.493,0.043,0.502,0.054,0.495,0.041,0.503,0.067,0.0594,0.6436,0.0099,0.2673,0.0297,0.6238,0.0664,0.7099,0,0.0894,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm011,20,L Inferior Temporal Gyrus,3,0.4,0.431,0.569,0.506,0.502,0.043,0.502,0.041,0.494,0.043,0.5,0.045,1,0.9505,0.0297,0.4356,0.0099,0.0495,0.9956,0.9657,0.0483,0.4685,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
k12wm008,52,R Inferior Temporal Gyrus,2,0.481,0.463,0.625,0.544,0.495,0.044,0.503,0.041,0.5,0.039,0.495,0.039,0.6139,0.8713,0.0099,0.1683,0.0297,0.1683,0.7099,0.848,0.001,0.152,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm003,37,L IFG (p Triangularis),4,0.381,0.5,0.575,0.45,0.5,0.045,0.503,0.054,0.501,0.045,0.498,0.034,0.9802,0.5743,0.0792,0.9307,0.0099,0.0693,0.999,0.5315,0.0343,0.9106,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,24,L Middle Temporal Gyrus,4,0.5,0.537,0.588,0.5,0.508,0.045,0.501,0.049,0.502,0.045,0.498,0.037,0.5743,0.3069,0.0495,0.5149,0.1089,0.4653,0.5315,0.1923,0.0162,0.5315,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm008,129,L Hippocampus,2,0.487,0.569,0.656,0.425,0.504,0.045,0.504,0.059,0.505,0.047,0.501,0.034,0.6931,0.1881,0.0099,0.9901,0.0099,0.8911,0.6536,0.0483,0,0.9761,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm003,37,L IFG (p Triangularis),1,0.581,0.531,0.694,0.537,0.502,0.046,0.503,0.046,0.502,0.053,0.501,0.039,0.0693,0.3069,0.0099,0.2079,0.0099,0.8614,0.0239,0.2384,0,0.1923,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm003,41,L Postcentral Gyrus,2,0.531,0.375,0.8,0.425,0.491,0.046,0.504,0.126,0.486,0.08,0.495,0.069,0.2574,0.8515,0.0099,0.8317,0.0099,0.9208,0.2384,0.9994,0,0.9761,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,35,L Superior Temporal Gyrus,4,0.512,0.613,0.756,0.55,0.505,0.046,0.5,0.063,0.496,0.07,0.499,0.066,0.4455,0.0396,0.0099,0.2475,0.0099,0.297,0.4063,0.0027,0,0.1178,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,34,R Insula Lobe,4,0.5,0.688,0.844,0.625,0.5,0.046,0.486,0.105,0.478,0.112,0.484,0.072,0.4554,0.0297,0.0099,0.0495,0.0099,0.0198,0.5315,0,0,0.001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
k12wm008,66,R ParaHippocampal Gyrus,2,0.494,0.55,0.625,0.525,0.497,0.046,0.491,0.074,0.495,0.035,0.492,0.039,0.5743,0.2178,0.0099,0.2079,0.0099,0.2475,0.5937,0.1178,0.001,0.2901,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,130,Left Cerebral White Matter,4,0.5,0.481,0.581,0.506,0.504,0.046,0.496,0.059,0.501,0.051,0.505,0.052,0.6238,0.6238,0.0495,0.5446,0.1584,0.4851,0.5315,0.7099,0.0239,0.4685,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm008,39,R Superior Temporal Gyrus,2,0.55,0.606,0.637,0.6,0.499,0.047,0.496,0.112,0.5,0.056,0.496,0.037,0.1683,0.198,0.0198,0.0099,0.1188,0.2277,0.1178,0.0044,0.0003,0.007,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
k12wm008,70,R Inferior Temporal Gyrus,1,0.494,0.581,0.831,0.562,0.504,0.047,0.521,0.1,0.492,0.115,0.496,0.05,0.5941,0.3366,0.0099,0.1485,0.0099,0.0792,0.5937,0.0239,0,0.0664,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,117,L ParaHippocampal Gyrus,1,0.438,0.481,0.588,0.425,0.499,0.047,0.501,0.069,0.496,0.045,0.501,0.05,0.901,0.6535,0.0594,0.9406,0.0396,0.5941,0.9517,0.7099,0.0162,0.9761,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm011,30,L ParaHippocampal Gyrus,1,0.487,0.544,0.631,0.594,0.495,0.047,0.51,0.1,0.499,0.051,0.499,0.051,0.604,0.4158,0.0099,0.0297,0.0396,0.0495,0.6536,0.152,0.0006,0.0108,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
k12wm008,40,R Insula Lobe,1,0.569,0.562,0.613,0.544,0.497,0.048,0.497,0.083,0.499,0.052,0.494,0.052,0.099,0.2772,0.0297,0.2277,0.2376,0.7525,0.0483,0.0664,0.0027,0.152,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm009,38,L IFG (p Opercularis),4,0.369,0.4,0.606,0.55,0.489,0.048,0.49,0.058,0.496,0.06,0.497,0.05,1,0.9307,0.0396,0.1881,0.0099,0.0099,0.9997,0.9956,0.0044,0.1178,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
k12wm002,32,L Postcentral Gyrus,2,0.5,0.525,0.631,0.456,0.498,0.049,0.499,0.06,0.5,0.056,0.487,0.078,0.495,0.3762,0.0099,0.5644,0.0099,0.604,0.5315,0.2901,0.0006,0.8822,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm002,47,L Middle Frontal Gyrus,2,0.456,0.525,0.613,0.537,0.495,0.049,0.5,0.042,0.493,0.031,0.497,0.047,0.7822,0.3465,0.0099,0.2376,0.0099,0.0396,0.8822,0.2901,0.0027,0.1923,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
k12wm006,29,L IFG (p Triangularis),4,0.419,0.487,0.581,0.531,0.508,0.049,0.5,0.068,0.5,0.045,0.495,0.051,0.9505,0.5941,0.0495,0.2871,0.0297,0.0594,0.9838,0.6536,0.0239,0.2384,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,61,L Inferior Parietal Lobule,4,0.55,0.512,0.588,0.469,0.497,0.049,0.498,0.041,0.496,0.044,0.505,0.056,0.1881,0.396,0.0396,0.7228,0.2871,0.9208,0.1178,0.4063,0.0162,0.8077,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm008,30,R Middle Temporal Gyrus,2,0.544,0.512,0.525,0.45,0.508,0.049,0.507,0.051,0.507,0.066,0.498,0.069,0.2574,0.5149,0.4257,0.7525,0.6535,0.9109,0.152,0.4063,0.2901,0.9106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm008,52,R Inferior Temporal Gyrus,1,0.537,0.537,0.85,0.475,0.509,0.049,0.503,0.045,0.505,0.053,0.503,0.035,0.2871,0.2277,0.0099,0.8119,0.0099,0.8911,0.1923,0.1923,0,0.7616,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,95,Right Cerebral White Matter,1,0.5,0.425,0.694,0.544,0.5,0.049,0.507,0.085,0.502,0.069,0.498,0.066,0.5248,0.7624,0.0099,0.2574,0.0198,0.2376,0.5315,0.9761,0,0.152,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm011,25,L Middle Temporal Gyrus,1,0.412,0.475,0.613,0.519,0.493,0.049,0.499,0.062,0.504,0.053,0.516,0.067,0.9406,0.6436,0.0297,0.5446,0.0099,0.2178,0.9892,0.7616,0.0027,0.3464,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm011,144,L Superior Temporal Gyrus,4,0.5,0.519,0.631,0.569,0.502,0.049,0.497,0.065,0.499,0.059,0.499,0.06,0.5446,0.3663,0.0198,0.1782,0.0198,0.0891,0.5315,0.3464,0.0006,0.0483,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm002,47,L Middle Frontal Gyrus,3,0.544,0.562,0.637,0.519,0.498,0.05,0.493,0.044,0.5,0.042,0.498,0.057,0.198,0.0891,0.0099,0.4059,0.0792,0.5842,0.152,0.0664,0.0003,0.3464,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm006,23,L Middle Temporal Gyrus,4,0.4,0.487,0.625,0.506,0.505,0.05,0.503,0.061,0.498,0.05,0.508,0.049,0.9901,0.6535,0.0099,0.5347,0.0099,0.0198,0.9956,0.6536,0.001,0.4685,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
k12wm008,94,R Insula Lobe,1,0.594,0.562,0.819,0.588,0.495,0.05,0.496,0.104,0.498,0.056,0.495,0.04,0.0495,0.3465,0.0099,0.0198,0.0099,0.5545,0.0108,0.0664,0,0.0162,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm003,40,L Rolandic Operculum,1,0.394,0.388,0.619,0.481,0.497,0.051,0.495,0.062,0.497,0.05,0.499,0.045,0.9802,0.9703,0.0099,0.7129,0.0099,0.0198,0.9973,0.9983,0.0017,0.7099,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
k12wm006,44,L Postcentral Gyrus,3,0.575,0.631,0.669,0.5,0.503,0.051,0.498,0.087,0.5,0.083,0.499,0.044,0.1089,0.0495,0.0099,0.5149,0.0495,0.8218,0.0343,0.0006,0,0.5315,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,40,R Insula Lobe,2,0.531,0.469,0.719,0.6,0.507,0.051,0.505,0.071,0.514,0.071,0.509,0.054,0.3267,0.6832,0.0099,0.0594,0.0099,0.1782,0.2384,0.8077,0,0.007,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm008,125,L Middle Temporal Gyrus,1,0.45,0.537,0.613,0.463,0.502,0.051,0.509,0.064,0.504,0.036,0.495,0.042,0.8515,0.4059,0.0099,0.802,0.0099,0.4059,0.9106,0.1923,0.0027,0.848,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm011,20,L Inferior Temporal Gyrus,1,0.381,0.4,0.506,0.431,0.501,0.051,0.5,0.083,0.505,0.049,0.504,0.048,0.9901,0.8713,0.505,0.9703,0.0198,0.1386,0.999,0.9956,0.4685,0.9657,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
k12wm011,20,L Inferior Temporal Gyrus,2,0.606,0.65,0.7,0.625,0.507,0.051,0.506,0.061,0.508,0.058,0.508,0.078,0.0495,0.0099,0.0099,0.0792,0.0495,0.4455,0.0044,0.0001,0,0.001,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
k12wm011,151,L Superior Temporal Gyrus,4,0.469,0.506,0.562,0.569,0.498,0.051,0.5,0.055,0.496,0.06,0.498,0.064,0.7624,0.4851,0.1782,0.1881,0.0396,0.0297,0.8077,0.4685,0.0664,0.0483,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
k12wm003,39,L Rolandic Operculum,3,0.45,0.519,0.6,0.544,0.497,0.052,0.507,0.063,0.49,0.053,0.499,0.058,0.8515,0.4653,0.0297,0.2574,0.0198,0.1782,0.9106,0.3464,0.007,0.152,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,49,L SupraMarginal Gyrus,1,0.463,0.688,0.65,0.469,0.495,0.052,0.514,0.152,0.499,0.075,0.496,0.049,0.7228,0.1881,0.0297,0.6931,0.0099,0.4752,0.848,0,0.0001,0.8077,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm006,3,L Superior Temporal Gyrus,1,0.512,0.581,0.756,0.494,0.498,0.053,0.505,0.124,0.49,0.051,0.505,0.037,0.4257,0.3465,0.0099,0.6634,0.0099,0.6337,0.4063,0.0239,0,0.5937,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm007,40,L Insula Lobe,2,0.571,0.429,0.679,0.625,0.489,0.053,0.519,0.098,0.489,0.089,0.485,0.094,0.099,0.8515,0.0198,0.1287,0.1485,0.3168,0.1748,0.8856,0.0052,0.0407,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
k12wm008,68,R Fusiform Gyrus,4,0.531,0.738,0.738,0.55,0.51,0.053,0.512,0.144,0.508,0.069,0.511,0.056,0.3861,0.0495,0.0099,0.2574,0.0099,0.4059,0.2384,0,0,0.1178,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm011,13,L Middle Temporal Gyrus,3,0.487,0.4,0.581,0.506,0.502,0.053,0.5,0.05,0.505,0.035,0.5,0.059,0.6238,0.9901,0.0297,0.4554,0.0495,0.4158,0.6536,0.9956,0.0239,0.4685,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
