Subject,ChannelIndex,ROI,ClassLabel,ClusterID,freq_min_Hz,freq_max_Hz,time_min_ms,time_max_ms
k12wm002,1,Left Amygdala,4,1,3.0,140.00000000000006,0,8000
k12wm002,1,Left Amygdala,4,2,3.0,3.0,6481,6489
k12wm002,1,Left Amygdala,4,3,3.0,3.0,6502,6502
k12wm002,1,Left Amygdala,4,4,3.310673102257725,3.310673102257725,2181,2183
k12wm002,1,Left Amygdala,4,5,3.310673102257725,3.6535187966709293,7860,7879
k12wm002,1,Left Amygdala,4,6,4.4493998658759315,4.4493998658759315,0,3
k12wm002,1,Left Amygdala,4,7,4.9101694857148575,4.9101694857148575,880,889
k12wm002,4,Left Amygdala,3,1,3.0,140.00000000000006,0,8000
k12wm002,4,Left Amygdala,3,2,3.0,3.0,2040,2063
k12wm002,4,Left Amygdala,3,3,5.979798836966422,5.979798836966422,7113,7120
k12wm002,4,Left Amygdala,3,4,6.599053055485587,6.599053055485587,3436,3437
k12wm002,4,Left Amygdala,4,1,3.0,140.00000000000006,0,8000
k12wm002,4,Left Amygdala,4,2,3.0,3.0,1282,1290
k12wm002,4,Left Amygdala,4,3,3.0,3.0,6223,6235
k12wm002,4,Left Amygdala,4,4,3.6535187966709293,3.6535187966709293,2787,2790
k12wm002,4,Left Amygdala,4,5,4.9101694857148575,4.9101694857148575,4343,4344
k12wm002,4,Left Amygdala,4,6,10.80082298255291,10.80082298255291,3331,3332
k12wm002,6,Left Cerebral White Matter,4,1,3.0,140.00000000000006,0,8000
k12wm002,6,Left Cerebral White Matter,4,2,3.0,3.0,168,186
k12wm002,6,Left Cerebral White Matter,4,3,3.6535187966709293,3.6535187966709293,1659,1664
k12wm002,6,Left Cerebral White Matter,4,4,8.868838714387815,8.868838714387815,634,639
k12wm002,6,Left Cerebral White Matter,4,5,13.15366992875747,13.15366992875747,4829,4829
k12wm002,6,Left Cerebral White Matter,4,6,19.50864573892993,19.50864573892993,3460,3467
k12wm002,8,L Middle Temporal Gyrus,3,1,3.0,140.00000000000006,0,8000
k12wm002,8,L Middle Temporal Gyrus,3,2,3.0,3.0,2001,2011
k12wm002,8,L Middle Temporal Gyrus,3,3,3.0,3.0,2014,2014
k12wm002,8,L Middle Temporal Gyrus,3,4,3.0,3.0,3927,3936
k12wm002,8,L Middle Temporal Gyrus,3,5,3.0,3.310673102257725,6399,6434
k12wm002,8,L Middle Temporal Gyrus,3,6,3.0,3.0,7178,7181
k12wm002,8,L Middle Temporal Gyrus,3,7,3.310673102257725,3.310673102257725,1999,2000
k12wm002,8,L Middle Temporal Gyrus,3,8,3.310673102257725,3.6535187966709293,3907,3922
k12wm002,8,L Middle Temporal Gyrus,3,9,5.979798836966422,5.979798836966422,7266,7266
k12wm002,8,L Middle Temporal Gyrus,3,10,7.282435817055927,7.282435817055927,1493,1495
k12wm002,8,L Middle Temporal Gyrus,4,1,3.0,140.00000000000006,0,8000
k12wm002,8,L Middle Temporal Gyrus,4,2,3.0,3.0,6531,6548
k12wm002,8,L Middle Temporal Gyrus,4,3,3.6535187966709293,3.6535187966709293,960,962
k12wm002,8,L Middle Temporal Gyrus,4,4,4.4493998658759315,4.4493998658759315,1502,1502
k12wm002,9,L ParaHippocampal Gyrus,4,1,3.0,140.00000000000006,0,8000
k12wm002,9,L ParaHippocampal Gyrus,4,2,3.0,3.0,1268,1273
k12wm002,9,L ParaHippocampal Gyrus,4,3,3.0,3.0,7485,7503
k12wm002,9,L ParaHippocampal Gyrus,4,4,3.0,3.0,7867,7874
k12wm002,9,L ParaHippocampal Gyrus,4,5,14.515833743037883,14.515833743037883,3948,3949
k12wm002,9,L ParaHippocampal Gyrus,4,6,85.53676226898173,85.53676226898173,714,723
k12wm002,9,L ParaHippocampal Gyrus,4,7,94.39475269937705,94.39475269937705,5877,5877
k12wm002,30,L Heschls Gyrus,3,1,3.0,140.00000000000006,0,8000
k12wm002,30,L Heschls Gyrus,3,2,3.0,3.0,6645,6663
k12wm002,30,L Heschls Gyrus,4,1,3.0,140.00000000000006,0,8000
k12wm002,30,L Heschls Gyrus,4,2,3.0,3.0,3246,3248
k12wm002,30,L Heschls Gyrus,4,3,104.17005625203247,104.17005625203247,7441,7443
k12wm002,31,L Postcentral Gyrus,4,1,3.0,140.00000000000006,0,8000
k12wm002,31,L Postcentral Gyrus,4,2,5.418655347960942,5.418655347960942,6921,6927
k12wm002,32,L Postcentral Gyrus,4,1,3.0,140.00000000000006,0,8000
k12wm002,32,L Postcentral Gyrus,4,2,3.6535187966709293,3.6535187966709293,3708,3712
k12wm002,32,L Postcentral Gyrus,4,3,3.6535187966709293,3.6535187966709293,6623,6634
k12wm002,32,L Postcentral Gyrus,4,4,7.282435817055927,7.282435817055927,4560,4567
k12wm002,32,L Postcentral Gyrus,4,5,10.80082298255291,10.80082298255291,2605,2609
k12wm002,32,L Postcentral Gyrus,4,6,114.95766776475935,114.95766776475935,4897,4902
k12wm002,34,L Insula Lobe,4,1,3.0,140.00000000000006,0,8000
k12wm002,34,L Insula Lobe,4,2,3.0,3.0,4069,4069
k12wm002,34,L Insula Lobe,4,3,3.0,3.0,6700,6749
k12wm002,36,L IFG (p Opercularis),4,1,3.0,140.00000000000006,0,8000
k12wm002,36,L IFG (p Opercularis),4,2,3.0,3.6535187966709293,2993,3034
k12wm002,36,L IFG (p Opercularis),4,3,3.310673102257725,3.6535187966709293,1768,1781
k12wm002,36,L IFG (p Opercularis),4,4,4.4493998658759315,4.4493998658759315,503,504
k12wm002,39,L ACC,4,1,3.0,140.00000000000006,0,8000
k12wm002,39,L ACC,4,2,3.0,3.310673102257725,1775,1789
