Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,Delay1Accuracy,Delay2Accuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,D1_null_mean,D1_null_std,D2_null_mean,D2_null_std,Fix_p_perm,Enc_p_perm,D1_p_perm,D2_p_perm,D1_vsFix_p,D2_vsFix_p,Fix_p_binom,Enc_p_binom,D1_p_binom,D2_p_binom,Fix_signif_binom,Enc_signif_binom,D1_signif_binom,D2_signif_binom,D1_signif_vsFix,D2_signif_vsFix
k12wm002_turtles_s01_uV_allregions_iti.mat,1,Left Amygdala,1,0.44375,0.65,0.475,0.53125,0.5088125,0.08736504292913787,0.5053749999999999,0.08154820954379059,0.5076250000000001,0.08309900767011347,0.505875,0.08358305386822974,0.7029702970297029,0.009900990099009901,0.6039603960396039,0.38613861386138615,0.16831683168316833,0.0297029702970297,0.9335887334262372,9.15482472568254e-05,0.761558920637366,0.23844107936263403,False,True,False,False,False,True
k12wm002_turtles_s01_uV_allregions_iti.mat,1,Left Amygdala,2,0.45625,0.45625,0.45625,0.45625,0.5014374999999999,0.06317723361482538,0.5028125,0.06053329260736516,0.5025,0.05978971990284456,0.5020625,0.06225998738387603,0.8514851485148515,0.8118811881188119,0.8514851485148515,0.8712871287128713,0.5742574257425742,0.5445544554455446,0.8822087867653655,0.8822087867653655,0.8822087867653655,0.8822087867653655,False,False,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,1,Left Amygdala,3,0.36875,0.525,0.38125,0.3625,0.5061875000000001,0.0886668900586728,0.503625,0.08122901826989484,0.502375,0.08508008333804146,0.5061249999999999,0.08198232517691934,1.0,0.4158415841584158,0.9801980198019802,0.9900990099009901,0.26732673267326734,0.6336633663366337,0.9996853264626246,0.2900646031523545,0.9990231359829678,0.9998280712134459,False,False,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,1,Left Amygdala,4,0.5,0.5875,0.48125,0.44375,0.5011249999999999,0.07938755070582985,0.501625,0.07799481577565773,0.49981250000000005,0.0752125303118376,0.5019375,0.07379981945962148,0.5346534653465347,0.22772277227722773,0.5742574257425742,0.7425742574257426,0.7425742574257426,0.9603960396039604,0.5314899153934008,0.01623704570833558,0.7099353968476455,0.9335887334262372,False,True,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,2,Left Amygdala,1,0.58125,0.65,0.5625,0.58125,0.4983125,0.12288891250604829,0.49468750000000006,0.11292489556843262,0.4943125,0.11033657401058788,0.5000625,0.10855344407691354,0.36633663366336633,0.13861386138613863,0.33663366336633666,0.3069306930693069,0.7029702970297029,0.6138613861386139,0.023883498014137958,9.15482472568254e-05,0.06641126657376283,0.023883498014137958,True,True,False,True,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,2,Left Amygdala,2,0.575,0.675,0.5625,0.525,0.4886875,0.07214524294466998,0.48974999999999996,0.06018122882619051,0.49368750000000006,0.06627783744292742,0.48962500000000003,0.0784166022606247,0.15841584158415842,0.009900990099009901,0.15841584158415842,0.31683168316831684,0.6435643564356436,0.7524752475247525,0.034341146020603126,5.653845883576381e-06,0.06641126657376283,0.2900646031523545,True,True,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,2,Left Amygdala,3,0.475,0.6125,0.51875,0.475,0.5061249999999999,0.0971702693079202,0.5125625,0.08555050028928805,0.5058125,0.0867721122445676,0.5090625,0.08169012012483579,0.594059405940594,0.1782178217821782,0.48514851485148514,0.6732673267326733,0.15841584158415842,0.6336633663366337,0.761558920637366,0.0027452732831701947,0.3463811745593231,0.761558920637366,False,True,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,2,Left Amygdala,4,0.55625,0.58125,0.49375,0.43125,0.5099375,0.1023635416806396,0.5155625,0.09139722366509208,0.5098125,0.08993831622845794,0.5148125,0.08566185706785215,0.40594059405940597,0.3069306930693069,0.5841584158415841,0.8118811881188119,0.9405940594059405,1.0,0.08938863402458781,0.023883498014137958,0.5936922174050568,0.9656588539793969,False,True,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,3,Left Amygdala,1,0.51875,0.5875,0.45,0.425,0.49618750000000006,0.10129330583418718,0.4934375000000001,0.08936228453731067,0.4915,0.08498607283406837,0.490625,0.0865957059436482,0.43564356435643564,0.2079207920792079,0.7128712871287128,0.7920792079207921,0.900990099009901,0.9207920792079208,0.3463811745593231,0.01623704570833558,0.9106113659754121,0.9761165019858621,False,True,False,False,False,False
k12wm002_turtles_s01_uV_allregions_iti.mat,3,Left Amygdala,2,0.575,0.68125,0.43125,0.5125,0.4955624999999999,0.07364782234466348,0.4911875,0.07106188062192875,0.4935625,0.07744058797170926,0.4888124999999999,0.08563716458602148,0.21782178217821782,0.009900990099009901,0.7821782178217822,0.4158415841584158,1.0,0.8217821782178217,0.034341146020603126,2.6345193715082316e-06,0.9656588539793969,0.40630778259494316,True,True,False,False,False,False
